batter,matches,innings,runs,balls,fours,sixes,outs,strike_rate,average
V Kohli                 ,244,6236,8014,6236,708,273,6236,128.51186658114176,1.2851186658114175
S Dhawan                ,221,5483,6769,5483,768,153,5483,123.45431333211745,1.2345431333211745
RG Sharma               ,251,5183,6630,5183,599,281,5183,127.91819409608335,1.2791819409608336
DA Warner               ,184,4849,6567,4849,663,236,4849,135.4299855640338,1.3542998556403383
SK Raina                ,200,4177,5536,4177,506,204,4177,132.53531242518554,1.3253531242518555
MS Dhoni                ,228,3947,5243,3947,363,252,3947,132.8350646060299,1.328350646060299
AB de Villiers          ,170,3487,5181,3487,414,253,3487,148.58044164037855,1.4858044164037856
CH Gayle                ,141,3516,4997,3516,408,359,3516,142.1217292377702,1.421217292377702
RV Uthappa              ,197,3927,4954,3927,481,182,3927,126.15227909345556,1.2615227909345557
KD Karthik              ,233,3687,4843,3687,466,161,3687,131.35340385136968,1.3135340385136969
KL Rahul                ,122,3578,4689,3578,400,187,3578,131.05086640581328,1.310508664058133
AM Rahane               ,171,3858,4642,3858,479,103,3858,120.32141005702437,1.2032141005702437
F du Plessis            ,138,3435,4571,3435,422,166,3435,133.07132459970887,1.3307132459970887
SV Samson               ,162,3270,4419,3270,352,206,3270,135.1376146788991,1.3513761467889909
AT Rayudu               ,185,3490,4348,3490,359,173,3490,124.58452722063038,1.2458452722063038
G Gambhir               ,151,3524,4217,3524,492,59,3524,119.66515323496027,1.1966515323496028
SR Watson               ,141,2892,3880,2892,377,190,2892,134.1632088520055,1.3416320885200552
MK Pandey               ,158,3288,3859,3288,335,111,3288,117.36618004866179,1.173661800486618
SA Yadav                ,135,2522,3594,2522,385,130,2522,142.50594766058683,1.4250594766058684
JC Buttler              ,106,2519,3583,2519,356,161,2519,142.23898372369987,1.4223898372369987
KA Pollard              ,168,2447,3437,2447,221,224,2447,140.45770331017573,1.4045770331017573
RR Pant                 ,110,2296,3297,2296,298,154,2296,143.59756097560975,1.4359756097560976
YK Pathan               ,153,2334,3222,2334,263,161,2334,138.04627249357327,1.3804627249357326
Shubman Gill            ,99,2432,3216,2432,310,95,2432,132.23684210526315,1.3223684210526316
Q de Kock               ,107,2410,3160,2410,316,123,2410,131.12033195020746,1.3112033195020747
SS Iyer                 ,114,2545,3131,2545,272,113,2545,123.02554027504911,1.230255402750491
RA Jadeja               ,180,2378,2959,2378,215,107,2378,124.4322960470984,1.244322960470984
WP Saha                 ,143,2368,2934,2368,296,87,2368,123.90202702702702,1.2390202702702702
