bowler,matches,balls,runs_conceded,wickets,overs,economy,average,strike_rate
R Ashwin                ,208,4679,5435,4679,779,6.976893453145058,1.161572985680701,1.0
SP Narine               ,175,4146,4672,4146,691,6.7612156295224315,1.1268692715870718,1.0
B Kumar                 ,176,4060,5051,4060,676,7.47189349112426,1.244088669950739,1.0
PP Chawla               ,191,3895,5179,3895,649,7.979969183359014,1.329653401797176,1.0
RA Jadeja               ,211,3895,4917,3895,649,7.576271186440678,1.262387676508344,1.0
YS Chahal               ,159,3628,4681,3628,604,7.75,1.2902425578831311,1.0
Harbhajan Singh         ,160,3496,4101,3496,582,7.046391752577319,1.1730549199084668,1.0
A Mishra                ,162,3444,4193,3444,574,7.304878048780488,1.217479674796748,1.0
DJ Bravo                ,158,3296,4436,3296,549,8.080145719489982,1.345873786407767,1.0
UT Yadav                ,147,3190,4442,3190,531,8.365348399246704,1.392476489028213,1.0
JJ Bumrah               ,133,3185,3840,3185,530,7.245283018867925,1.205651491365777,1.0
AR Patel                ,148,3152,3824,3152,525,7.2838095238095235,1.2131979695431472,1.0
SL Malinga              ,122,2974,3486,2974,495,7.042424242424242,1.1721587088096839,1.0
Sandeep Sharma          ,126,2925,3758,2925,487,7.716632443531828,1.2847863247863247,1.0
Rashid Khan             ,121,2901,3340,2901,483,6.915113871635611,1.1513271285763529,1.0
P Kumar                 ,119,2637,3342,2637,439,7.612756264236902,1.2673492605233219,1.0
Mohammed Shami          ,110,2521,3486,2521,420,8.3,1.3827846092820308,1.0
I Sharma                ,110,2429,3255,2429,404,8.056930693069306,1.340057636887608,1.0
TA Boult                ,103,2428,3286,2428,404,8.133663366336634,1.3533772652388798,1.0
MM Sharma               ,111,2308,3278,2308,384,8.536458333333334,1.4202772963604853,1.0
HV Patel                ,103,2284,3215,2284,380,8.460526315789474,1.407618213660245,1.0
DW Steyn                ,95,2282,2583,2282,380,6.7973684210526315,1.1319018404907975,1.0
Z Khan                  ,99,2276,2860,2276,379,7.546174142480211,1.2565905096660808,1.0
JD Unadkat              ,104,2194,3219,2194,365,8.819178082191781,1.46718322698268,1.0
R Vinay Kumar           ,104,2186,3041,2186,364,8.354395604395604,1.3911253430924062,1.0
KH Pandya               ,117,2183,2644,2183,363,7.2837465564738295,1.211177278973889,1.0
SR Watson               ,105,2137,2742,2137,356,7.702247191011236,1.2831071595694898,1.0
IK Pathan               ,101,2113,2711,2113,352,7.701704545454546,1.2830099384761002,1.0
Mohammed Siraj          ,93,2081,2894,2081,346,8.364161849710984,1.39067755886593,1.0
SN Thakur               ,92,1979,2908,1979,329,8.838905775075988,1.4694290045477514,1.0
A Nehra                 ,88,1974,2537,1974,329,7.711246200607903,1.2852077001013171,1.0
PP Ojha                 ,90,1945,2399,1945,324,7.404320987654321,1.2334190231362467,1.0
K Rabada                ,80,1907,2652,1907,317,8.365930599369085,1.3906659674882014,1.0
DS Kulkarni             ,92,1876,2513,1876,312,8.054487179487179,1.3395522388059702,1.0
RP Singh                ,82,1874,2417,1874,312,7.746794871794871,1.2897545357524012,1.0
JA Morkel               ,87,1807,2409,1807,301,8.003322259136212,1.3331488655229662,1.0
CH Morris               ,81,1801,2377,1801,300,7.923333333333333,1.319822320932815,1.0
JH Kallis               ,89,1799,2348,1799,299,7.852842809364549,1.3051695386325737,1.0
Kuldeep Yadav           ,82,1786,2413,1786,297,8.124579124579125,1.351063829787234,1.0
AD Russell              ,112,1771,2691,1771,295,9.122033898305085,1.5194805194805194,1.0
DL Chahar               ,81,1746,2243,1746,291,7.707903780068729,1.2846506300114549,1.0
M Morkel                ,70,1699,2136,1699,283,7.5477031802120145,1.257210123602119,1.0
RD Chahar               ,77,1697,2165,1697,282,7.677304964539007,1.2757807896287567,1.0
R Bhatia                ,91,1661,2059,1661,276,7.4601449275362315,1.2396146899458158,1.0
CV Varun                ,70,1624,2042,1624,270,7.562962962962963,1.2573891625615763,1.0
AB Dinda                ,75,1589,2103,1589,264,7.965909090909091,1.3234738829452486,1.0
KA Pollard              ,107,1586,2200,1586,264,8.333333333333334,1.3871374527112232,1.0
M Muralitharan          ,66,1581,1765,1581,263,6.7110266159695815,1.116382036685642,1.0
L Balaji                ,73,1574,2083,1574,262,7.950381679389313,1.3233799237611181,1.0
SK Trivedi              ,75,1557,1944,1557,259,7.505791505791506,1.2485549132947977,1.0
KV Sharma               ,82,1520,2130,1520,253,8.41897233201581,1.4013157894736843,1.0
Shakib Al Hasan         ,70,1515,1864,1515,252,7.396825396825397,1.2303630363036304,1.0
HH Pandya               ,93,1485,2196,1485,247,8.890688259109313,1.4787878787878788,1.0
Ravi Bishnoi            ,65,1460,1861,1460,243,7.658436213991769,1.2746575342465754,1.0
Arshdeep Singh          ,65,1453,2097,1453,242,8.665289256198347,1.4432209222298693,1.0
S Nadeem                ,70,1444,1800,1444,240,7.5,1.2465373961218837,1.0
T Natarajan             ,61,1401,2001,1401,233,8.587982832618026,1.4282655246252676,1.0
Avesh Khan              ,62,1390,2010,1390,231,8.7012987012987,1.4460431654676258,1.0
MM Patel                ,63,1382,1733,1382,230,7.534782608695652,1.2539797395079595,1.0
PJ Cummins              ,58,1370,1976,1370,228,8.666666666666666,1.4423357664233576,1.0
Mustafizur Rahman       ,57,1353,1792,1353,225,7.964444444444444,1.3244641537324464,1.0
MJ McClenaghan          ,56,1346,1839,1346,224,8.209821428571429,1.3662704309063893,1.0
KK Ahmed                ,57,1345,1918,1345,224,8.5625,1.4260223048327139,1.0
Imran Tahir             ,59,1340,1729,1340,223,7.753363228699552,1.2902985074626865,1.0
